en_name,cn_name
Back to the Future Part III (Europe),回到未来3
Back to the Future Part III (USA),回到未来3
"Bad Omen (Japan, Korea)",nan
Bahamut Senki (Japan),nan
"Ball Jacks (Japan, Europe)",杰克钢球
"Ballz (USA) (Beta) (June, 1994)",球
"Ballz 3D - Fighting at Its Ballziest ~ Ballz 3D - The Battle of the Ballz (USA, Europe) (Rev A) (Beta) (September, 1994)",nan
"Ballz 3D - Fighting at Its Ballziest ~ Ballz 3D - The Battle of the Ballz (USA, Europe)",nan
Bao Xiao San Guo (Taiwan) (Alt 1) (Unl),nan
Bao Xiao San Guo (Taiwan) (Unl),nan
Barbie Super Model (USA) (Beta) (1993-06-30),超级名模芭比
Barbie Super Model (USA),超级名模芭比
Barbie Vacation Adventure (USA) (Proto),nan
Bare Knuckle - Ikari no Tekken ~ Streets of Rage (World) (Rev A),nan
Bare Knuckle - Ikari no Tekken ~ Streets of Rage (World),nan
Bare Knuckle II (Unknown) (Beta),怒之铁拳2
"Bare Knuckle II - Shitou e no Requiem ~ Streets of Rage II (Japan, Europe)",nan
Bare Knuckle III (Japan) (Beta),怒之铁拳3日
Bare Knuckle III (Japan),怒之铁拳3日
Barkley Shut Up and Jam 2 (USA) (Beta),恶汉巴克利２
Barkley Shut Up and Jam 2 (USA),恶汉巴克利２
"Barkley Shut Up and Jam! (USA, Europe)",恶汉巴克利１
Barney's Hide & Seek Game (USA) (Beta) (1993-09-18),巴尼寻宝
Barney's Hide & Seek Game (USA),巴尼寻宝
Barver Battle Saga - Tai Kong Zhan Shi (Taiwan) (Unl),太空战士-魔法战士(Cht)(Unl)
Bass Masters Classic (USA),nan
Bass Masters Classic - Pro Edition (USA),nan
Batman (Europe),nan
Batman (Japan),nan
Batman - Revenge of the Joker (USA),蝙蝠侠-谜天大圣复仇记
Batman - The Video Game (USA),nan
Batman Forever (World),蝙蝠侠-永远的蝙蝠侠
Batman Returns (World),蝙蝠侠重出江湖
Battle Golfer Yui (Japan),nan
Battle Mania (Japan) (Beta) (1991-05-28),战斗玛利亚(J)
Battle Mania (Japan),战斗玛利亚(J)
"Battle Mania Daiginjou (Japan, Korea)",战斗玛利亚-大吟酿(J)
"Battle Squadron (USA, Europe) (Rev A) (Beta) (1991-01-18) (Sega Channel)",武装中队
"Battle Squadron (USA, Europe)",武装中队
BattleTech - A Game of Armored Combat (USA),nan
Battlemaster (USA),战神
Battletoads (World),战斗癞蛤蟆
Battletoads-Double Dragon (USA),nan
Beast Warriors (Japan),nan
Beast Wrestler (Japan) (Beta) (1991-09-13),怪兽摔角
Beast Wrestler (USA),怪兽摔角
Beastball (Europe) (Proto),nan
Beauty and the Beast - Belle's Quest (USA),美女与野兽-贝莉之章(U)
Beauty and the Beast - Roar of the Beast (USA),美女与野兽-野兽之吼
Beavis and Butt-Head (Europe),ＭＴＶ双傻
Beavis and Butt-Head (USA) (Beta) [b],nan
Beavis and Butt-Head (USA),ＭＴＶ双傻
Beggar Prince (World) (Unl),nan
