en_name,cn_name
Fantastic Night Dreams - Cotton (USA),棉花小魔女 （美版）
Far East of Eden - Tengai Makyou - Fuun Kabuki-den (Japan),天外魔境 风云歌舞伎传 （日版）
Far East of Eden - Tengai Makyou - Fuun Kabuki-den (Japan) (Demo),天外魔境 风云歌舞伎传 （日版） （演示版）
Far East of Eden - Tengai Makyou - Ziria (Japan) (Hibaihin),天外魔境 自来也 （日版） (Hibaihin)
Far East of Eden - Tengai Makyou - Ziria (Japan) (Rev 6),天外魔境 自来也 （日版） （修正版 6）
Far East of Eden - Tengai Makyou - Ziria (Japan) (Rev 7),天外魔境 自来也 （日版） （修正版 7）
Far East of Eden - Tengai Makyou II - Manji Maru (Japan),天外魔境2 万字丸 （日版）
Farjius no Jakoutei - Neo Metal Fantasy (Japan),法斯安斯的邪皇帝 （日版）
Farjius no Jakoutei - Neo Metal Fantasy (Japan) (Rev 1),法斯安斯的邪皇帝 （日版） （修正版 1）
Faussete Amour (Japan),虚假的爱 （日版）
Fiend Hunter (Japan),邪鬼猎人 （日版）
Fighting Street (Japan) (Rev 4),快打旋風 （日版） （修正版 4）
Fighting Street (Japan) (Rev 5),快打旋風 （日版） （修正版 5）
Fighting Street (USA),快打旋風 （美版）
Final Zone II (Japan),最终战区2 （日版）
Final Zone II (USA),最终战区2 （美版）
Flash Hiders (Japan),闪光的躲避者 （日版）
Forgotten Worlds (Japan),失落的世界 （日版）
"Forgotten Worlds (USA) (En,Ja)","失落的世界 （美版） (En,Ja)"
Formation Soccer 95 della Serie A (Japan),意甲足球 95 （日版）
Fushigi no Umi no Nadia - The Secret of Blue Water (Japan),蓝宝石之谜 （日版）
FX Unit Yuki - The Henshin Engine (USA) (Unl) (Rerelease),FX Unit 雪 （美版） （非官方版） (Rerelease)
Gain Ground SX (Japan),大地槍聲 SX （日版）
Galaxy Deka Gayvan (Japan),银河刑警Gayvan （日版）
Garou Densetsu 2 - Aratanaru Tatakai (Japan) (Demo) (SABS),饿狼传说2 新的挑战者 （日版） （演示版） (SABS)
"Garou Densetsu 2 - Aratanaru Tatakai (Japan) (FABT, FAET, FAFT)","饿狼传说2 新的挑战者 （日版） (FABT, FAET, FAFT)"
Garou Densetsu Special (Japan) (Demo),饿狼传说 特别版 （日版） （演示版）
Garou Densetsu Special (Japan) (FABT),饿狼传说 特别版 （日版） (FABT)
"Gate of Thunder (Japan) (FACT, FADT)","雷霆之门 （日版） (FACT, FADT)"
Gate of Thunder + Bonk's Adventure + Bonk's Revenge (USA),雷霆之门+PC原人大冒险+PC原人2 （美版）
Genocide (Japan),大屠杀 （日版）
Gensou Tairiku Auleria (Japan),幻苍大陆 （日版）
Ginga Fukei Densetsu Sapphire (Japan),银河妇警传说 （日版）
Ginga Fukei Densetsu Sapphire (Japan) (Reprint),银河妇警传说 （日版） (Reprint)
"Ginga Ojousama Densetsu Yuna (Japan) (FABT, FACT)","銀河大小姐傳說 （日版） (FABT, FACT)"
Ginga Ojousama Densetsu Yuna (Japan) (FAFT),銀河大小姐傳說 （日版） (FAFT)
Ginga Ojousama Densetsu Yuna 2 - Eien no Princess (Japan) (FAAT),銀河大小姐傳說2 永恒的守护公主 （日版） (FAAT)
Ginga Ojousama Densetsu Yuna 2 - Eien no Princess (Japan) (FABT),銀河大小姐傳說2 永恒的守护公主 （日版） (FABT)
Ginga Ojousama Densetsu Yuna HuVIDEO CD (Japan),銀河大小姐傳說 HuVIDEO CD （日版）
Go! Go! Birdie Chance (Japan),Go! Go! 高尔夫 （日版）
