en_name,cn_name
Rockman X - Irregular Hunter,洛克人X-反乱猎人
Harry Potter and the Goblet of Fire,哈利波特与火焰杯
Peter Jackson's King Kong,金刚
Pinball Hall of Fame - The Gottlieb Collection,弹珠台名人堂-戈特利布合集
World Championship Poker 2 - Featuring Howard Lederer,世界扑克锦标赛2
Prince of Persia - Revelations,波斯王子-武者之心
WWE SmackDown! vs. RAW 2006,世界摔跤联盟2006
Exit,紧急出口
Jet de Go Pocket,飞机GO! 口袋版
Piposaru Academia 2,比波猴学院2
Midway Arcade Treasures - Extended Play,Midway经典街机游戏合集
Madden NFL 06,劲爆美式橄榄球2006
WWE SmackDown! vs. RAW 2006,世界摔跤联盟2006
Handdic,掌上词典
Pursuit Force,强力追击
Daisenryaku Portable,大战略 携带版
FIFA 06,FIFA足球2006
Need for Speed - Most Wanted 5-1-0,极品飞车-最高通缉
Peter Jackson's King Kong,金刚
Flowars Portable,龙争花开 携带版
Beit Hell 2000,打工地狱2000
Boku no Watashi no Katamari Damacy,我们的块魂
Comic Party Portable - Shokai Genteiban,漫画同人会 携带版(初回限定版)
Crash Bandicoot - Gacchanko World,古惑狼赛车 团队竞速
Karakuri,遗迹大冒险
Need for Speed - Most Wanted 5-1-0,极品飞车-最高通缉
SSX - On Tour Portable,极限滑雪
Nobunaga no Yabou - Shouseiroku,信长的野望 将星录
Puyo Puyo Fever 2,噗哟噗喲 狂热2
Zero Shiki Kanjou Sentouki,零式舰上战斗记 征空王
Super Robot Taisen MX Portable,超级机器人大战MX 携带版
Shin Megami Tensei - Devil Summoner,真女神转生-恶魔召唤师
Generation of Chaos IV - Another Side,新天魔界混沌时代4
Ultimate Block Party,科隆方块
"Sims 2, The",模拟人生2
PQ - Practical Intelligence Quotient,智能执照
DJ Max Emotional Sense P - Portable - Dynamic Sound Creation,DJMax 携带版
"Legend of Heroes V - A Cagesong of the Ocean, The",英雄传说-海之槛歌
Street Fighter Zero 3 - Double Upper,街头霸王Zero3
Key of Heaven,天地之门
WWE SmackDown! vs. RAW 2006,世界摔跤联盟2006
"Con - Gamble Fight, The",非法地带
Ape Escape Academy,比波猴学院 捉猴大全集
Ys - Napishtim no Kou,伊苏-纳比斯汀的方舟
"Sims 2, The",模拟人生2
Rengoku - The Tower of Purgatory,炼狱-洗罪塔
Mega Man - Maverick Hunter X,洛克人X-反乱猎人
Crash Tag Team Racing,古惑狼赛车 团队竞速
Armored Core - Formula Front Extreme Battle,装甲核心-方程式前线 终极战役
Tales of Eternia,永恒传说
Gradius Portable,宇宙巡航机 携带版
Street Fighter Alpha 3 MAX,街头霸王Alpha3
Death Jr.,小死神
San Goku Shi VI,三国志6
Breath of Fire III,龙战士3
ATV Offroad Fury - Blazin' Trails,沙滩机车赛
World Soccer Winning Eleven 9,实况足球9
San Goku Shi VII,三国志7
Nakahara no Hasha - Sangoku Shouseiden,三国将星传-中原之霸者
Gottlieb Pinball Classics,弹珠台名人堂-戈特利布合集
Exit,紧急出口
Densha de Go! Pocket - Chuuousen Hen,电车GO! 口袋版-中央线篇
Yarudora Portable - Blood the Last Vampire,互动剧场-最后的吸血鬼
Jui - Dr. Touma Jotarou,呪医-杜马丈太郎
Initial D - Street Stage,头文字D-公路传说
World Series of Poker,世界扑克大赛
Frogger - Helmet Chaos,青蛙过河
Fight Night Round 3,拳击之夜3
Midway Arcade Treasures - Extended Play,Midway经典街机游戏合集
Gensou Suikoden I & II,幻想水浒传1&2
Jitsuroku Oniyome Nikki,鬼嫁日记
Kinnikuman - Muscle Generations,筋肉人
Namco Museum 2,南梦宫博物馆2
Mai-Hime Bakuretsu! Fuuka Gakuen Gekitoushi!,舞-HiME 爆裂!风华学园激斗史
Monster Kingdom - Jewel Summoner,怪兽王国-晶石召唤师
Valkyrie Profile - Lenneth,北欧女神-蕾娜斯
FIFA Street 2,FIFA街头足球2
MX vs. ATV - On the Edge,究极大越野
Simple 2500 Series Portable Vol. 2 - The Tennis,廉价2500系列Vol.2-网球
Mobile Train Simulator - Keisei - Toei Asakusa - Keikyuusen,移动火车模拟-京成 都营浅草 京急线
Mega Man - Maverick Hunter X,洛克人X-反乱猎人
Generation of Chaos,新天魔界混沌时代4
Ys - The Ark of Napishtim,伊苏-纳比斯汀的方舟
Blade Dancer - Sennen no Yakusoku,剑舞者-千年之约定
Derby Time 2006,德贝赛马时代2006
Street Supremacy,首都高-街头至尊
MLB 06 - The Show,美国职棒大联盟06
FIFA Street 2,FIFA街头足球2
Dora-Slot - Oki-Slot-Ou! Pioneer 12,ドラスロット 沖スロ王！パイオニア12
Ooedo Senryoubako,大江户千两箱
Daito Giken Koushiki Pachi-Slot Simulator - Ossu! Banchou Portable,大都技研公式 模拟柏青嫂-押忍!番长 携带版
Pursuit Force - Daitsuiseki,强力追击
Power Smash - New Generation,VR网球
Hayarigami Portable - Keishichou Kaii Jiken,流行之神-警视厅怪异事件档案 携带版
Simple 2500 Series Portable Vol. 1 - The Table Game,廉价2500系列Vol.1-桌面游戏
Rockman Rockman,洛克人洛克人
KuruKuru Chameleon,回转逆转变色龙
Fired Up,火爆赛车
Eyeshield 21 - Portable Edition,极速达阵21 携带版
MutaJuice,激情果汁
Blade Dancer,剑舞者-千年之约定
SpongeBob SquarePants - The Yellow Avenger,海绵先生-黄色复仇者
FIFA 06,FIFA足球2006
Frantix - Kirakira Nazotoki Daibouken,弗兰提西历险记
Gamble Con Fight,非法地带
NBA Live 06,NBA实况06
Saikyou Toudai Shogi Portable,东大将棋 携带版
