en_name,cn_name
"Cannon Fodder (Europe) (En,Fr,De,Es,It) (Beta)",炮灰（欧）
"Cannon Fodder (Europe) (En,Fr,De,Es,It)",炮灰（欧）
"Cannon Fodder (USA) (En,Fr,De,Es,It)",炮灰（欧）
Captain Buzz Lightyear - Star Command (Germany),巴兹光年星际使命（德）
Card Sharks (USA) (Proto),卡鲨鱼(美国)
Cardcaptor Sakura - Itsumo Sakura-chan to Issho (Japan) (GB Compatible),魔卡少女樱–永远和樱酱在一起（日）
Cardcaptor Sakura - Itsumo Sakura-chan to Issho (Japan) (Rev 1) (GB Compatible),魔卡少女樱–永远和樱酱在一起（日）
Cardcaptor Sakura - Itsumo Sakura-chan to Issho (Japan) (Rev 2) (GB Compatible),魔卡少女樱–永远和樱酱在一起（日）
Cardcaptor Sakura - Tomoeda Shougakkou Daiundoukai (Japan),魔卡少女樱–友枝小学校大运动会（日）
"Carl Lewis Athletics 2000 (Europe) (En,Fr,De,Es,It,Nl) (Beta)",路易士体育竞赛（美）
"Carl Lewis Athletics 2000 (Europe) (En,Fr,De,Es,It,Nl)",路易士体育竞赛（美）
Carmageddon - Carpocalypse Now (Germany),狂飙飞车（欧）
"Carmageddon - Carpocalypse Now (USA, Europe) (En,Fr,Es,It)",狂飙飞车（欧）
"Casper (Europe) (En,Es,It)",鬼马小精灵（欧）
"Casper (Europe) (En,Fr,De)",鬼马小精灵（欧）
"Caterpillar Construction Zone (USA, Europe) (GB Compatible)",铲泥车（美）
Catwoman (Europe),猫女（欧）
Catwoman (USA),猫女（欧）
Catz (Europe),卡茨(欧洲)
Catz (USA),猫猫小站美1
"Centipede (Europe) (En,Fr,De,Es,It,Nl) (GB Compatible)",杀虫战记(欧）
Centipede (USA) (GB Compatible),杀虫战记(欧）
"Championship Motocross 2001 featuring Ricky Carmichael (USA, Europe)",越野机车冠军赛2001（美）
Chase H.Q. - Secret Police (Europe) (SGB Enhanced) (GB Compatible),追踪HQ（欧）
Chase H.Q. - Secret Police (USA) (SGB Enhanced) (GB Compatible),追踪HQ（欧）
"Checkmate (Japan) (En,Ja) (GB Compatible)",西洋棋王(日）
Chee-Chai Alien (Japan) (Rumble Version),叱咤依林（日）
"Chessmaster (USA, Europe) (GB Compatible)",决战西洋棋（美）
Chi to Ase to Namida no Koukou Yakyuu (Japan),高中棒球（日）
Chibi Maruko-chan - Go Chounai Minna de Game Da yo! (Japan),樱桃小丸子（日）
"Chicken Run (USA, Europe) (En,Fr,De,Es,It)",小鸡快跑（美）
Choro Q - Hyper Customable GB (Japan) (SGB Enhanced) (GB Compatible),可爱四驱车Q（日）
Classic Bubble Bobble (Europe) (SGB Enhanced) (GB Compatible),泡泡龙欧
Classic Bubble Bobble (USA) (SGB Enhanced) (GB Compatible),泡泡龙美
Colin McRae Rally (Europe),科林拉力赛（欧）
Columns GB - Tezuka Osamu Characters (Japan) (SGB Enhanced) (GB Compatible),阿童木方块（日）
Command Master (Japan),指令王（日）
"Commander Keen (USA, Europe)",敏捷指挥官（美）
"Conker's Pocket Tales (USA, Europe) (En,Fr,De) (SGB Enhanced) (GB Compatible)",松鼠大冒险（美）
"Cool Bricks (Europe) (En,Fr,De,Es,It)",酷砖块（欧）
"Cool Hand (Europe) (En,Fr,De) (GB Compatible)",拉斯维加斯赌圣（欧）
"Copy21 Marble Madness (USA, Europe)",小滚珠
"Copy29 Maus, Die (Europe) (En,Fr,De,Es)",死亡毛利
"Copy29 Road Rash (USA, Europe)",山脊赛车
"Copy42 Smurfs Nightmare, The (Europe) (En,Fr,De,Es)",蓝精灵梦魇
"Copy52 Paperboy (USA, Europe)",送报童
"Copy8 Lucky Luke (Europe) (En,Fr,De,Es)",幸运牛仔
Copy84 Chiki Chiki Machine Mou Race (Japan),顽皮狗
Copy88 Casper (USA),鬼马小灵精
Crazy Bikers (Europe),越野摩托车2（欧）
"Croc (USA, Europe)",瓜瓜龙1代（美/欧）
"Croc 2 (USA, Europe)",瓜瓜龙2代（美）
"Cross Country Racing (Europe) (En,Fr,De) (SGB Enhanced) (GB Compatible)",极速狂飙（欧）
Cross Hunter - Monster Hunter Version (Japan),十字猎人–怪兽篇（日）
Cross Hunter - Treasure Hunter Version (Japan),十字猎人–寻宝篇（日）
Cross Hunter - X Hunter Version (Japan),十字猎人–X猎人（日）
