en_name,cn_name
Timeball (U),时光球美版
Titan (J),泰坦球日版
Toilet Kids (J),马桶小子日版
Tora heno Michi (J),虎之道日版
Toshi Tensou Keikaku - Eternal City (J),永恒的城市日版
"Tower of Druaga, The (J)",龙之塔日版
Toy Shop Boys (J),玩具小子日版
Tricky (J),动物金头脑日版
Tricky Kick (U),动物金头脑美版
Tsuppari Oozumou - Heisei Ban (J),大相扑日版
Tsuru Teruhito no Jissen Kabushiki Bai Bai Game (J),株式会社游戏日版
Turrican (U),外星悍将美版
TV Sports Basketball (J),实况篮球日版
TV Sports Basketball (U),实况篮球美版
TV Sports Football (J),实况橄榄球日版
TV Sports Football (U),实况橄榄球美版
TV Sports Hockey (J),实况冰上曲棍球日版
TV Sports Hockey (U),实况冰上曲棍球美版
USA Pro Basketball (J),美国篮球日版
Veigues - Tactical Gladiator (J),机甲战士日版
Veigues - Tactical Gladiator (U),机甲战士美版
Victory Run (J),胜利赛车日版
Victory Run (U),胜利赛车美版
Vigilante (J),义警日版
Vigilante (U),义警美版
Violent Soldier (J),激烈战斗日版
Volfied (J),volfied日版
Wai Wai Mahjong - Yukaina Janyuu Tachi (J),399哇哇麻雀日版
Walkuere no Densetsu (J),walkuerenodensetsu日版
Wallaby!! - Usagi no Kuni no Kangaroo Race (J),小袋鼠日版
Winning Shot (J),胜利高尔夫日版
Wonder Momo (J),wondermomo日版
World Beach Volley (J),世界海滩排球日版
World Circuit (J),worldcircuit日版
World Class Baseball (U),世界棒球美版
World Court Tennis (U),世界网球美版
World Jockey (J),世界赛马日版
World Sports Competition (U),超级运动员美版
W-Ring - The Double Rings (J),宇宙双鹰日版
Xevious - Fardraut Densetsu (J),铁板阵日版
"Yo, Bro (U)",Yo兄弟美版
Youkai Douchuuki (J),妖怪道中记日版
Yuu Yuu Jinsei - Victory Life (J),游游人生日版
Zero 4 Champ (J),优胜者日版
Zero 4 Champ (J) (v1.5),优胜者日版v1.5
Zipang (J),所罗门之钥日版
