en_name,cn_name
Batman Returns (USA),蝙蝠侠重现江湖(欧)
Battle Blaze (Japan) (En),究极战士(日)
Battle Blaze (USA) (Beta),究极战士(日)
Battle Blaze (USA),究极战士(日)
Battle Cars (USA),战斗赛车(美)
Battle Clash (Europe),战斗冲击(欧)
Battle Clash (USA),战斗冲击(欧)
"Battle Commander - Hachibushuu, Shura no Heihou (Japan)",SD指挥官(日)
Battle Cross (Japan),火柴摩托车赛(日)
Battle Dodge Ball (Japan),战斗躲避球
Battle Dodge Ball II (Japan),SD躲避球2(日)
Battle Grand Prix (Japan) (En),战斗GP赛车(日)
Battle Grand Prix (USA),战斗GP赛车(日)
Battle Jockey (Japan),战斗赛马(日)
Battle Master - Kyuukyoku no Senshi-tachi (Japan),战斗大师-究极之战士
Battle Pinball (Japan),SD弹珠台(日)
Battle Racers (Japan),SD赛车(日)
Battle Robot Retsuden (Japan) (Rev 1),战斗机器人(日)
Battle Robot Retsuden (Japan),战斗机器人(日)
Battle Soccer - Field no Hasha (Japan),SD足球(日)
Battle Soccer 2 (Japan),SD足球2(日)
Battle Submarine (Japan),战斗潜水艇(日)
Battle Tycoon - Flash Hiders SFX (Japan) (Rev 1),闪电斗士(日)(V1.0)
Battle Tycoon - Flash Hiders SFX (Japan),闪电斗士(日)(V1.0)
Battle Zeque Den (Japan),斗姬传(日)
BattleTech (Japan),银河战记(日)
BattleTech 3050 (Japan),机甲争霸3050年(日)
Battletoads in Battlemaniacs (Europe),忍者蛙(欧)
Battletoads in Battlemaniacs (Japan),忍者蛙(欧)
Battletoads in Battlemaniacs (USA) (Beta),忍者蛙(欧)
Battletoads in Battlemaniacs (USA),忍者蛙(欧)
Battletoads-Double Dragon (Europe),忍者蛙与双截龙:终极团队
Battletoads-Double Dragon (USA),忍者蛙与双截龙:终极团队
Bazooka Blitzkrieg (USA),激战火箭炮(美)
Beauty and the Beast (Europe) (Beta),美女与野兽(欧)(测试版)
Beauty and the Beast (Europe),美女与野兽(欧)(测试版)
Beauty and the Beast (USA),美女与野兽(欧)(测试版)
Beavis and Butt-Head (Europe),MTV双傻(欧)
Beavis and Butt-Head (USA),MTV双傻(欧)
Bebe's Kids (USA),宝贝小孩(美)
Beethoven - The Ultimate Canine Caper! (Europe),我家也有贝多芬欧版
Beethoven - The Ultimate Canine Caper! (USA),我家也有贝多芬欧版
Beethoven's 2nd (USA) (Beta) (,nan
Benkei Gaiden - Suna no Shou (Japan),弁庆外传-沙之章(日)
Best Shot Pro Golf (Japan),专业一杆高尔夫球(日)
Best of the Best - Championship Karate (Europe) (Beta),自由搏击(欧)(测试版)
Best of the Best - Championship Karate (Europe),自由搏击(欧)(测试版)
Best of the Best - Championship Karate (USA),自由搏击(欧)(测试版)
Big Ichigeki! Pachi-Slot Daikouryaku (Japan),柏青哥嫂大攻略(日)
Big Ichigeki! Pachi-Slot Daikouryaku 2 - Universal Collection (Japan),柏青哥嫂大攻略2(日)
Big Sky Trooper (Europe),天空骑兵(欧)
Big Sky Trooper (USA) (Beta),天空骑兵(欧)
Big Sky Trooper (USA),天空骑兵(欧)
Bijo to Yajuu (Japan),美女与野兽
Bike Daisuki! Hashiriya Tamashii (Japan),魂电单车
Biker Mice from Mars (Europe),火星老鼠赛车(欧)
Biker Mice from Mars (USA),火星老鼠赛车(欧)
Bill Laimbeer's Combat Basketball (USA),战斗篮球(美)
Bill Walsh College Football (USA),比尔华续大学篮球(美)
Bing Bing! Bingo (Japan),乐趣宾果岛(日)
BioMetal (Europe),生化金属战机(欧)
BioMetal (Japan) (En),生化金属战机(欧)
BioMetal (USA),生化金属战机(欧)
Bishin Densetsu Zoku (Japan),美神传说
Bishoujo Janshi Suchie-Pai (Japan) (Rev 1),美少女雀士日版
Bishoujo Janshi Suchie-Pai (Japan),美少女雀士日版
Bishoujo Senshi Sailor Moon (Japan),美少女战士(日)
