en_name,cn_name
Devil Dice (E) (PUZ) (Shift),魔鬼骰子
Devil Summoner Soul Hackers (J) (RPG) (Atlus),恶魔召唤师 - 灵魂黑客 A
Devil Summoner Soul Hackers (J) (RPG) (Atlus),恶魔召唤师 - 灵魂黑客 B
Dewprism (J) (A RPG) (Square),晶莹之露
Diablo (U) (A RPG) (Blizzard),暗黑破坏神
Digical League (J) (SPG) (Square),棒球联盟
Dino Crisis (J) (AVG) (Capcom),恐龙危机
Dokapon! Ikari No Tetsuken (J) (TAB) (Asmik Ace),多卡邦 - 怒之铁剑
Dokyusei 2 (J) (AVG) (ELF),同级生 2
Doraemon 2 SOS! Otogi No Kuni (J) (ACT) (Epoch),机器猫 2 - 童话之国
Doraemon 3 Makai No Dungeon (J) (A RPG) (Epoch),机器猫 3 - 魔界的迷宫
Doraemon Nobitaito Fukkatsu No Hoshi (J) (ACT) (Epoch),机器猫 - 野比和复活之星
Dragon Ball Z Idainaru Dragon Ball Densetsu (J) (ACT) (Bandai),龙珠 Z - 伟大龙珠传说
Dragon Knight 4 (J) (S RPG) (Elf),龙骑士 4
Dragon Quest IV (J) (RPG) (Enix),勇者斗恶龙 IV
Dragon Quest Monsters 1 & 2 (J) (RPG) (Enix),勇者斗恶龙怪物篇 1 & 2
Dragon Quest VII (J) (RPG) (Enix),勇者斗恶龙 VII A
Dragon Quest VII (J) (RPG) (Enix),勇者斗恶龙 VII B
Dragon Valor (J) (A RPG) (Namco),屠龙战记 A
Dragon Valor (J) (A RPG) (Namco),屠龙战记 B
Dragon Warrior VII (U) (RPG) (Enix),勇者斗恶龙 VII A
Dragon Warrior VII (U) (RPG) (Enix),勇者斗恶龙 VII B
Dungeon Shoutenkai (J) (RPG) (Kodansha),迷宫商店会 - 传说之剑
Einhander (J) (STG) (Square),独臂擎天
Epica Stella (J) (S RPG) (Human),圣剑巨人
Eternal Eyes (U) (RPG) (Sunsoft),悠久之瞳
Eve The Fatal Attraction Limited Edition (J) (AVG) (C's Ware),夜行侦探 - 致命诱惑 A
Eve The Fatal Attraction Limited Edition (J) (AVG) (C's Ware),夜行侦探 - 致命诱惑 B
Eve The Fatal Attraction Limited Edition (J) (AVG) (C's Ware),夜行侦探 - 致命诱惑 C
FEDA 2 White Surge The Platoon (J) (S RPG) (Yanoman),正义之纹章 2
Final Fantasy Ⅰ(J) (RPG) (Square),最终幻想 Ⅰ
Final Fantasy Ⅱ (SCH) (RPG) (Square),最终幻想 Ⅱ
Final Fantasy Ⅳ (U) (RPG) (Square),最终幻想 Ⅳ
Final Fantasy Ⅴ (U) (RPG) (Square),最终幻想 Ⅴ
Final Fantasy Ⅵ (U) (RPG) (Square),最终幻想 Ⅵ
Final Fantasy IX (J) (RPG) (Square),最终幻想 IX A
Final Fantasy IX (J) (RPG) (Square),最终幻想 IX B
Final Fantasy IX (J) (RPG) (Square),最终幻想 IX C
Final Fantasy IX (J) (RPG) (Square),最终幻想 IX D
Final Fantasy IX (U) (RPG) (Square),最终幻想 IX A
Final Fantasy IX (U) (RPG) (Square),最终幻想 IX B
Final Fantasy IX (U) (RPG) (Square),最终幻想 IX C
Final Fantasy IX (U) (RPG) (Square),最终幻想 IX D
Final Fantasy Tactics (J) (S RPG) (Square),最终幻想 - 战略版
Final Fantasy Tactics (U) (S RPG) (Square),最终幻想 - 战略版
Final Fantasy Tactics Chinese Patch (CH) (S RPG) (Square),最终幻想 - 战略版 中文汉化补丁
Final Fantasy Tactics Chinese Patch 070422 (CH) (S RPG) (Square),最终幻想 - 战略版 中文汉化版
Final Fantasy Tactics Chinese Patch For ePSXe (CH) (S RPG) (Square),最终幻想 - 战略版 中文汉化补丁 For ePSXe
Final Fantasy VII (J) (RPG) (Square),最终幻想 VII 初版 A
Final Fantasy VII (J) (RPG) (Square),最终幻想 VII 初版 B
Final Fantasy VII (J) (RPG) (Square),最终幻想 VII 初版 C
Final Fantasy VII (U) (RPG) (Square),最终幻想 VII A
Final Fantasy VII (U) (RPG) (Square),最终幻想 VII B
Final Fantasy VII (U) (RPG) (Square),最终幻想 VII C
Final Fantasy VII International (J) (RPG) (Square),最终幻想 VII 国际版 A
Final Fantasy VII International (J) (RPG) (Square),最终幻想 VII 国际版 B
Final Fantasy VII International (J) (RPG) (Square),最终幻想 VII 国际版 C
Final Fantasy VII International (J) (RPG) (Square),最终幻想 VII 国际版 D
Final Fantasy VIII (J) (RPG) (Square),最终幻想 VIII A
Final Fantasy VIII (J) (RPG) (Square),最终幻想 VIII B
Final Fantasy VIII (J) (RPG) (Square),最终幻想 VIII C
Final Fantasy VIII (J) (RPG) (Square),最终幻想 VIII D
Final Fantasy VIII (U) (RPG) (Square),最终幻想 VIII A
Final Fantasy VIII (U) (RPG) (Square),最终幻想 VIII B
Final Fantasy VIII (U) (RPG) (Square),最终幻想 VIII C
Final Fantasy VIII (U) (RPG) (Square),最终幻想 VIII D
From TV Animation One Piece Grand Battle! 2 (J) (FTG) (Bandai),海贼王 - 伟大战斗 2
Front Mission 1 St (J) (S RPG) (Square Enix),前线任务 1 St
Front Mission 2 (J) (S RPG) (Square),前线任务 2
Front Mission 3 (J) (S RPG) (Square),前线任务 3
Front Mission Alternative (J) (S RPG) (Square),前线任务 - 抉择
Furaiki (J) (AVG) (Fog),风雨来记
G Darius (J) (STG) (Taito),变形战机
Gaia Master (J) (TAB) (Capcom),盖亚首领
Gakkou O Tsukurou!! 2 (J) (SLG) (Victor Interactive Software),模拟学校 2
Gakkou O Tsukurou!! Kouchou Sensei Monogatari (J) (SLG) (Victor Interactive Software),模拟学校 - 校长先生物语
Gakkou O Tsukurou!! Let's Make A School (J) (SLG) (Victor Interactive Software),模拟学校
Genso Suikoden (J) (RPG) (Konami),幻想水浒传
Genso Suikoden II (J) (RPG) (Konami),幻想水浒传 II
Genso Suikogaiden Vol 1 Harmonia No Kenshi (J) (AVG) (Konami),幻想水浒外传 Vol 1 - 哈尔摩尼亚的剑客
Genso Suikogaiden Vol 2 Crystal Valley No Kettou (J) (AVG) (Konami),幻想水浒外传 Vol 2 - 水晶谷的决斗
Getter Robot The Big Battle! (J) (S RPG) (Emotion),盖塔大决战
Gran Turismo (U) (RAC) (SCE),GT 赛车
Gran Turismo 2 (J) (RAC) (SCEI),GT 赛车 2 B
Gran Turismo 2 (J) (RAC) (SCEI),GT 赛车 2 A
Grandia (J) (RPG) (Game Arts),格兰迪亚
Grandia (U) (RPG) (Game Arts),格兰迪亚 A
Grandia (U) (RPG) (Game Arts),格兰迪亚 B
Groove Adventure Rave Mikan No Hiseki (J) (RPG) (Konami),圣石小子 - 未完的秘石
Groove Adventure Rave Plue No Daibouken (J) (ACT) (Konami),圣石小子 - 布鲁的大冒险
Groove Adventure Rave Yukyu No Kizuna (J) (A RPG) (Konami),圣石小子 - 悠久之绊
