en_name,cn_name
"Amazing Spider-Man, The (EU)(M2)",超凡蜘蛛侠
Heroes of Ruin (EU)(M5),毁灭英雄 ACT(动作类)
Pro Evolution Soccer 2012 3D (EU)(M3),实况足球2012 3DSPG(体育类)
Spirit Camera – The Cursed Memoir (EU)(M5),心灵写真 附体笔记
50 Classic Games (EU)(M4),50款经典游戏 3DPUZ(益智类)
Pets Paradise Resort 3D (EU)(M6),娇蛮宠物 宠物度假村3D
Nintendogs + Cats – French Bulldog & New Friends (EU)(M7),任天猫狗 法国斗牛犬与新伙伴SIM(模拟养成类)
Pac-Man Party 3D (EU)(M5),吃豆人聚会3D
Kingdom Hearts 3D – Dream Drop Distance (EU)(M3),王国之心3D 梦中陨落 RPG(角色扮演)
Theatrhythm Final Fantasy (EU),最终幻想 节奏剧场 Music(音乐类)
Dragon Quest Monsters – Terry no Wonderland 3D (JP),勇者斗恶龙怪兽篇 特里的仙境3D
Kingdom Hearts 3D – Dream Drop Distance (JP),王国之心3D 梦中陨落
Slime MoriMori Dragon Quest 3 – Taikaizoku to Shippo Dan (JP),勇者斗恶龙 元气史莱姆3 大海贼与尾巴团
Zelda no Densetsu – Toki no Ocarina 3D (JP),塞尔达传说 时之笛3D
New Super Mario Bros. 2 (EU)(M7),新超级马里奥兄弟2
Battleship (EU)(M5),超级战舰
Spider-Man Aux Frontieres du Temps (FR),超凡蜘蛛侠
Asphalt 3D – Nitro Racing (JP),沥青都市3D 液氮竞速
Mario Kart 7 (JP),马里奥赛车7
Madagascar 3 – Europe's Most Wanted (EU)(M6),马达加斯加3
LEGO Batman 2 – DC Super Heroes (v01) (FR)(M2),乐高蝙蝠侠2 DC超级英雄
Biohazard Revelations (JP),生化危机 启示录
Fire Emblem – Kakusei (JP),火焰之纹章 觉醒
"Freakyforms Deluxe – Your Creations, Alive! (EU)(M5)",绘图生活 你的创造生活
Professeur Layton et le Masque des Miracles (FR),雷顿教授与奇迹假面
Hatsune Miku and Future Stars – Project Mirai (JP),初音未来 未来计划
Project X Zone (JP),交叉领域计划
Sengoku Musou Chronicle (JP),战国无双 历代记
Sengoku Musou Chronicle 2nd (JP),战国无双 历代记2nd
Taiko no Tatsujin – Chibi Dragon to Fushigi na Orb (JP),太鼓达人 小龙与不思议宝珠
Mensa Academy (EU),美国门萨学院
Mario & Sonic at London Olympics (KS),马里奥与索尼克在伦敦奥运会
Super Mario 3D Land (KS),超级马里奥3D 大陆
Super Mario 3D Land (JP),超级马里奥3D 大陆
Biohazard Revelations (CN),生化危机 启示录
Mario Kart 7 (CN),马里奥赛车7
Naruto SD Powerful Shippuden (CN),影忍者SD疾风传
"Legend of Zelda – Ocarina of Time 3D, The (CN)",塞尔达传说 时之笛3D
Rabbids Rumble (EU)(M9),疯狂兔子 大混战
Combat of Giants – Dinosaurs 3D (JP),巨人之战 恐龙突袭3D
Nano Assault (JP),纳米突击
Senran Kagura Burst – Guren no Shoujotachi (JP),闪乱神乐BURST 红莲的少女们
Tales of the Abyss (JP),深渊传说3D
Monosugoku Nou wo Kitaeru 5-Funkan no Oni Training (JP),更强脑力的5分钟魔鬼锻炼
Sekaiju no Meikyuu IV – Denshou no Kyoshin (JP),世界树迷宫4 传承的巨神
Paper Mario – Sticker Star (EU)(M5),纸片马里奥 超级贴纸
Luigi's Mansion 2 (EU)(M7),路易鬼屋 暗黑之月
Monster Hunter 3 Ultimate (EU)(M5),怪物猎人3G
Donkey Kong Country Returns 3D (EU)(M5),大金刚国度：回归3D
Blazblue – Continuum Shift II (JP),苍翼默示录 连锁反应2
Culdcept (JP),卡片召唤师
Fire Emblem – Awakening (EU)(M5),火焰之纹章 觉醒
Epic Mickey – Power of Illusion (EU)(M7),经典米奇 幻影力量
Donkey Kong Country Returns 3D (US),大金刚回归3D
Fire Emblem – Awakening (US),火焰之纹章 觉醒
Etrian Odyssey IV – Legends of the Titan (US),世界树迷宫4 传承的巨神
Pokemon Mystery Dungeon – Gates to Infinity (US),口袋妖怪不可思议迷宫
Zero Escape – Virtue's Last Reward (US),极限脱出ADV 善人死亡
Rhythm Thief & the Emperor's Treasure (US),节奏怪盗R 拿破仑的遗产
Rayman Origins (US),雷曼 起源
Professor Layton and the Miracle Mask (US)(M3),雷顿教授与奇迹假面
Paper Mario – Sticker Star (US)(M3),纸片马里奥 超级贴纸
New Super Mario Bros. 2 (US)(M3),新超级马里奥兄弟2
Monster Hunter 3 Ultimate (US),怪物猎人3G
Mario Tennis Open (US)(M2),马里奥网球OPEN
Kingdom Hearts 3D – Dream Drop Distance (US)(M2),王国之心3D 梦中陨落
Heroes of Ruin (US),毁灭英雄
Castlevania Lords of Shadow – Mirror of Fate (US)(M3),恶魔城 暗影之王 命运之镜
Castlevania Lords of Shadow – Mirror of Fate (EU)(M5),恶魔城 暗影之王 命运之镜
LEGO City Undercover – The Chase Begins (US)(M3),乐高都市伪装 追捕游戏
Epic Mickey – Power of Illusion (US),经典米奇 幻影力量
LEGO Batman 2 – DC Super Heroes (US),乐高蝙蝠侠2 DC超级英雄
Code of Princess (US)(M2),公主代码
Harvest Moon 3D – A New Beginning (US),牧场物语 起源的大地
Riding Stables 3D (EU)(M7),驯马场 3D
Sherlock Holmes – The Mystery of the Frozen City (EU)(M6),福尔摩斯 冰封城之谜
Survivor 3D – The Ultimate Adventure (EU)(M5),幸存者3D 终极冒险
Animal Crossing – New Leaf (EU)(M5),来吧！动物之森
Gabrielle's Ghostly Groove 3D (EU)(M4),幽灵舞者卡布瑞
Myst (EU)(M3),神秘岛3D
New Art Academy (EU)(M7),新绘心教室
Schlag den Raab – Das 2. Spiel (DE),斯拉格书房 第二版
Project X Zone (EU),交叉领域计划
Frogger 3D (EU)(M5),青蛙过河3D
Ben 10 – Galactic Racing (EU)(M5),BEN10 银河赛车
Imagine – Fashion Designer 3D (EU)(M9),时尚女孩3D流行趋势
Monster 4×4 3D (EU)(M5),异形4X4特技赛车
Order Up!! (EU)(M5),上菜啦！
Pinball Hall of Fame 3D – The Williams Collection (EU)(M5),弹珠台名人堂 威廉收藏版
Reel Fishing 3D – Paradise (EU)(M6),鱼之眼 天堂
Rollercoaster Tycoon (EU)(M5),过山车大亨3D
Shifting World (EU)(M7),变幻世界 白与黑之迷宫
Transformers Prime – The Game (EU)(M7),变形金刚 领袖
Winter Sports 2012 – Feel the Spirit (EU)(M4),2012冬运会 感受灵魂
Word Wizard 3D (EU)(M6),魔力单词3D
"Croods – Prehistoric Party, The (EU)(M5)",克鲁德一家 史前聚会
LEGO Legends of Chima – Laval's Journey (EU)(M7),乐高 赤马传奇 拉法鲁的旅程
Professor Layton und die Maske der Wunder (DE),雷顿教授与奇迹假面
Zero Escape – Virtue's Last Reward (EU),极限脱出ADV 善人死亡 AVG(文字类)
Sonic & All-Stars Racing – Transformed (EU)(M5),索尼克与世嘉全明星赛车 变形 RAC(竞速类)
Happy Feet 2 (EU)(M6),快乐的大脚2 ACT(动作类)
Naruto Shippuden 3D – The New Era (EU)(M5),火影忍者疾风传 忍立体绘卷！最强忍界决战! ACT(动作类)
Mario & Luigi – Dream Team Bros. (EU)(M7),马里奥与路易RPG4 梦世界冒险(欧)RPG(角色扮演)
My Foal 3D (EU)(M6),我的小马驹 3D(欧)SIM(模拟养成类)
Cats & Dogs – Pets at Play (EU)(M5),阿猫阿狗 宠物游戏(欧)SIM(模拟养成类)
LEGO The Lord of the Rings (US),乐高指环王(欧)ACT(动作类)
Rabbids Rumble (US)(M3),疯狂兔子 大混战(美)ACT(动作类)
Transformers Prime – The Game (US)(M2),变形金刚 领袖(美)ACT(动作类)
Funky Barn 3D (EU)(M5),快乐动物牧场3D(欧)SIM(模拟养成类)
LEGO Der Herr der Ringe (DE)(M7),乐高指环王(欧)ACT(动作类)
Spider-Man – Edge of Time (EU)(M4),蜘蛛侠 时空边缘(欧)ACT(动作类)
DreamWorks Super Star Kartz (EU)(M7),梦工厂全明星卡丁车(欧)RAC(竞速类)
Hotel Transylvania (EU)(M4),精灵旅社(欧)AVG(冒险类)
Monster High – Skultimate Roller Maze (EU)(M10),精灵高中 溜冰滚动迷宫(欧)RAC(竞速类)
Pippi Longstocking 3D (EU)(M8),长袜子皮皮 3D(欧)PUZ(益智类)
Ice Age 4 – Continental Drift – Arctic Games (EU)(M6),冰河世纪4 大陆漂移 北极运动会(欧)SPG(运动类)
Angry Birds Trilogy (v01) (EU)(M5),愤怒的小鸟 三重包(欧)ETC(益智类)
Shin Megami Tensei – Devil Survivor Overclocked (EU),真女神转生 恶魔幸存者 超频(欧)SLG(策略类)
Jewel Master – Atlantis 3D (EU)(M6),珠宝大师 亚特兰提斯传奇 3D(欧)PUZ(益智类)
Arcade Classics 3D (EU)(M6),街机3D合集(欧)PUZ(益智类)
Bella Sara – The Magical Horse Adventures (EU)(M11),贝拉萨拉 魔法飞马大冒险(欧)SIM(模拟养成类)
Gummy Bears – Magical Medallion (EU)(M6),橡皮糖熊的魔法勋章(欧)ACT(动作类)
Spy Hunter (EU)(M6),间谍猎手(欧)RAC(竞速类)
Puppies World 3D (EU)(M5),小狗 3D(欧)SIM(模拟养成类)
Imagine – Babies 3D (EU)(M6),幻想宝贝(欧)SIM(模拟类)
Imagine – Champion Rider 3D (EU)(M9),幻想冠军骑师 3D(欧)SIM(模拟类)
Imagine – Fashion World 3D (EU)(M9),幻想时尚世界3D(欧)SIM(模拟类)
Naruto Powerful Shippuden (EU)(M5),火影忍者SD疾风传(欧)ACT(动作类)
Pro Evolution Soccer 2012 3D (EU)(M2),实况足球2012 3D(德)SPG(体育类)
Pro Evolution Soccer 2013 3D (EU)(M2),实况足球2013(欧)SPG(体育类)
Azada (EU)(M4),阿扎达(欧)PUZ(益智类)
LEGO City Undercover – The Chase Begins (EU)(M8),乐高都市伪装 追捕(欧)RPG(角色扮演)
LEGO Batman 2 – DC Super Heroes (DE)(M2),乐高蝙蝠侠2 DC超级英雄(德)ACT(动作类)
Pokemon Mystery Dungeon – Gates to Infinity (EU)(M5),口袋妖怪不可思议迷宫 玛古那之门与无限迷宫 (欧)RPG(角色扮演)
Petz Fantasy 3D (EU)(M9),梦幻宠物3D(欧)RPG(角色扮演)
Farming Simulator 2012 3D (EU)(M3),模拟农场2012 3D(欧)SIM(模拟类)
Mahjong Mysteries – Ancient Athena 3D (EU)(M6),麻将探秘 古雅典娜(欧)PUZ(益智类)
Junior Games 3D (EU)(M6),儿童经典游戏3D(欧)PUZ(益智类)
Jewel Master – Cradle of Rome 2 (EU)(M6),珠宝大师 罗马起源 2(欧)PUZ(益智类)
Bowling Bonanza 3D (EU)(M6),保龄球富豪3D(欧)SPG(体育类)
My Riding Stables 3D – Jumping for the Team (EU)(M5),我的驯马场3D 为团队而跳跃(欧)SIM(模拟类)
Rise of the Guardians (EU)(M5),守护者联盟(欧)ACT(动作类)
Ben 10 – Omniverse (EU)(M5),Ben 10 全能宇宙(欧)ACT(动作类)
"Profesor Layton y la Mascara de los Prodigios, El (ES)",雷顿教授与奇迹假面(西)AVG(冒险类)
Harvest Moon 3D – The Tale of Two Towns (EU)(M3),牧场物语3D 双子村(欧)RPG(角色扮演)
"Professor Layton e la maschera dei Miracoli, Il (IT)",雷顿教授与奇迹假面(意))AVG(冒险类)
Disney Planes (EU)(M6),飞机总动员(欧)RAC(竞速类)
Fast & Furious – Showdown (EU)(M5),速度与激情 对决(欧)RAC(竞速类)
Disney Princess – My Fairytale Adventure (EU)(M3),迪士尼公主们 我的童话冒险(欧)RPG(角色扮演)
50 Classic Games 3D (EU)(M6),50款经典游戏 3D(欧)PUZ(益智类)
One Piece – Unlimited Cruise SP2 (EU)(M5),海贼王 无尽的航海SP2(欧)ACT(动作类)
Theatrhythm Final Fantasy (US),最终幻想 节奏剧场(美)Music(音乐类)
Scribblenauts Unlimited (US),涂鸦小子 无限(美)RPG(角色扮演)
Luigi's Mansion – Dark Moon (US)(M3),路易鬼屋 暗黑之月(美)ACT(动作类)
Nintendogs + Cats – Toy Poodle & New Friends (JP),任天猫狗 玩具贵宾犬与新伙伴(日)SIM(模拟养成类)
BioHazard – The Mercenaries 3D (JP),生化危机 佣兵3D(日)Action(动作射击类)
Theatrhythm Final Fantasy (JP),最终幻想 节奏剧场(日)Music(音乐类)
Shin Hikari Shinwa – Palutena no Kagami (JP),新光之神话 帕鲁迪娜之镜(日)ACT(动作类)
My Western Horse 3D (EU)(M5),我的西部小马3D(德)SIM(模拟类)
Viking Invasion 2 – Tower Defense (EU)(M5),维京人的入侵2 塔防(欧)Strategy(策略)
Tobidase Doubutsu no Mori (JP),来吧！动物之森(日)ETC(益智类)
Gyakuten Saiban 5 (JP),逆转裁判5(日)AVG(文字类)
Bravely Default – Flying Fairy (JP),勇气默示录 飞舞的妖精(日)RPG(角色扮演)
AKB48+Me (JP),秋叶原48 +我(日)SIM(模拟类)
New Love Plus (JP),新的爱情加(日)SIM(模拟类)
Castlevania Lords of Shadow – Mirror of Fate (JP),恶魔城 暗影之王 命运之镜(日)ACT(动作类)
Super Robot Taisen UX (JP),超级机器人大战UX(日)Strategy(策略)
Dragon Quest VII – Eden no Senshitachi (JP),勇者斗恶龙7 伊甸的战士们(日)RPG(角色扮演)
Fantasy Life (JP),幻想生活(日)RPG(角色扮演)
Pokemon Fushigi no Dungeon – Magnagate to Mugendai no Meikyuu (JP),口袋妖怪不可思议迷宫 玛古那之门与无限迷宫(日)RPG(角色扮演)
