en_name,cn_name
Knytt Underground,尼克的故事 [英文版]
escapeVektor,电脑脱出 [英文版]
Call of Duty Black Ops: Declassified,使命召唤黑色行动：解密 [英文版]
Puzzle by Nikoli V Sudoku,尼柯利谜题：数独 [英文版]
Zombie Tycoon 2: Brainhov's Revenge,僵尸大亨 2 [英文版]
Doctor Who: The Eternity Clock,神秘博士：永恒之钟 [英文版]
Puzzle by Nikoli V Slitherlink,尼柯利谜题：数回 [英文版]
Furmins,佛曼 [英文版]
Rocketbirds: Hardboiled Chicken,火箭鸟：铁血雄鸡 [英文版]
KickBeat,打击节奏 [英文版]
Orgarhythm,奥迦旋律 [英文版]
Burn the Rope,烧绳子 [英文版]
Ragnarok Odyssey,仙境传说 奥德赛 [英文版]
Persona 4 Golden,女神异闻录 4 黄金版 [英文版]
Colors!,Colors! [英文版]
Dokuro,骷髅王子 多克罗 [英文版]
Doodle God,涂鸦上帝 [英文版]
Guilty Gear XX Accent Core Plus R,罪恶装备 XX AC 加强版 R [英文版]
Quell Memento,水滴记忆 [英文版]
DJMax Technika Tune,DJMax [英文版]
Earth Defense Force 2017 Portable,地球防卫军 3 携带版 [英文版]
Alien Breed,异形繁殖 [英文版]
Machinarium,机械迷城 [英文版]
Jetpack Joyride,火箭飞人 [英文版]
Let's Fish! Hooked On,上钩了 NEXT [英文版]
Dragon Fantasy Book I,龙之幻想 1 [英文版]
MUD - FIM Motocross World Championship,MUD世界越野摩托车锦标赛 [英文版]
Nun Attack,修女也疯狂 [英文版]
Star Wars Pinball (DEMO - needs DLC to unlock full),星球大战弹珠台(DEMO - 需要 DLC 解锁) [英文版]
CRACKLE,CRACKLE [英文版]
Draw Slasher,饮血狂刀 [英文版]
BreakQuest: Extra Evolution,魔幻砖块：超进化 [英文版]
Germinator,萌发器 [英文版]
Fruit Ninja,水果忍者 [英文版]
Atelier Totori Plus: The Adventurer of Arland,托托莉的炼金工房：亚兰德的炼金术士 [英文版]
A-men,突击军团 [英文版]
Ninja Gaiden Sigma 2 Plus,忍者龙剑传 Σ2+ [英文版]
Dead or Alive 5 Plus,死或生 5 Plus [英文版]
Lego Legends of Chima: Laval's Journey,乐高赤马传奇：拉法鲁的旅程 [英文版]
Superfrog HD,超级青蛙 高清版 [英文版]
Muramasa Rebirth,胧村正 [英文版]
WRC 3 - FIA World Rally Championship,世界拉力锦标赛 3 [英文版]
Valhalla Knights 3,瓦尔哈拉骑士 3 [英文版]
Ys: Memories of Celceta,伊苏：塞尔塞塔的树海 [英文版]
Luftrausers,天空奇兵 [英文版]
Deathmatch Village,死斗村 [英文版]
Hotline Miami,迈阿密热线 [英文版]
Lego Marvel Super Heroes: Universe in Peril,乐高超级英雄：宇宙危机 [英文版]
Men's Room Mayhem,男厕大乱斗 [英文版]
HISTORY: Legends of War: Patton,战阵历史传奇：巴顿 [英文版]
Kung Fu Rabbit,功夫兔子 [英文版]
Flying Hamster HD,飞翔的仓鼠 高清版 [英文版]
Thomas Was Alone,孤独的托马斯 [英文版]
The HD Adventures of Rotating Octopus Character,旋转章鱼的HD冒险 [英文版]
Floating Cloud God Saves the Pilgrims in HD!,云神拯救朝圣者 [英文版]
Danganronpa: Trigger Happy Havoc,枪弹辩驳：希望的学院和绝望的高中生 [英文版]
FIFA 14,FIFA 14 [英文版]
Fieldrunners 2,坚守阵地 2 [英文版]
Coconut Dodge Revitalised,椰子道奇：卷土重来 [英文版]
LIMBO,地狱边境 [中英文版]
Batman: Arkham Origins Blackgate,蝙蝠侠：阿甘起源之黑门 [英文版]
Injustice: Gods Among Us Ultimate Edition,不义联盟：我们心中的神 终极版 [英文版]
Shake Spears!,史克比亚 [英文版]
Rainbow Moon,彩虹月亮 [英文版]
Atomic Ninjas,原子力忍者 [英文版]
OMG HD Zombies!,OMG HD 僵尸 [英文版]
Rayman Legends,雷曼：传奇 [英文版]
Aabs Animals,AR宠物 [英文版]
BlazBlue: Chronophantasma,苍翼默示录：刻之幻影 [英文版]
Stealth Inc: A Clone in the Dark,潜行公司：黑暗中的克隆 [中英文版]
Divekick,两键格斗 [英文版]
Ms. Germinator,萌发器女士 [英文版]
Final Fantasy X-2 HD Remaster,最终幻想 X-2 高清重制版 [英文版]
Total Recoil,全面反击 [英文版]
Worms Revolution Extreme,百战天虫：革命 极限版 [英文版]
Mahjong Royal Towers,麻将皇家塔 [英文版]
Spelunky,洞穴探险 [英文版]
Stick it to the Man,男人必须坚强 [英文版]
Crazy Market,疯狂超市 [英文版]
Final Fantasy X HD Remaster,最终幻想 X 高清重制版 [英文版]
Angry Birds Star Wars,愤怒的小鸟 星球大战 [英文版]
Sparkle,火花 [英文版]
Atelier Meruru Plus: The Apprentice of Arland,梅露露的炼金工房 Plus：雅兰德的炼金术士 3 [英文版]
Flyhunter Origins,捕蝇者：起源 [英文版]
Dragon Fantasy Book II,龙之幻想 2 [英文版]
Ragnarok Odyssey ACE,仙境传说 奥德赛 ACE [英文版]
Lone Survivor: The Director's Cut,唯一的幸存者：导演剪辑版 [英文版]
BIT.TRIP Presents... Runner2: Future Legend of Rhythm Alien,像素起跑 2：未来外太空传奇 [英文版]
Crunchyroll,Crunchyroll [英文版]
TuneIn,TuneIn [英文版]
Dragon Ball Z: Battle of Z,龙珠 Z：终极之战 [英文版]
PixelJunk Monsters: Ultimate HD,像素垃圾：怪物 终极高清版 [英文版]
Z-Run,僵尸跑酷 [英文版]
Proteus,奇异变形 [英文版]
Tennis in the Face,星球复仇记 [英文版]
Die!Die!Die!,死！死！死！ [英文版]
Sorcery Saga: Curse of the Great Curry God,圣魔导物语 [英文版]
King Oddball,古怪之王 [英文版]
The Walking Dead: The Complete First Season,行尸走肉：全系列 第一季 [英文版]
Terraria,泰拉瑞亚 [英文版]
Rainbow Skies (3.61+!) [3.67],彩虹天空 [需3.67及以上系统版本 | 英文版]
Fort Defense,海盗防御 [英文版]
Angry Birds Trilogy,愤怒的小鸟 三部曲 [英文版]
Table Top Racing,桌上狂飙 [英文版]
A-men 2,突击军团 2 [英文版]
Real Boxing,真实拳击 [英文版]
Hatsune Miku: Project DIVA F,初音未来：歌姬计划 F [英文版]
Doodle Devil,涂鸦恶魔 [英文版]
Blast 'Em Bunnies,突突兔独战突击兔 [英文版]
Gaiam TV: The Transformation Network,Gaiam TV (应用软件) [英文版]
Treasures of Montezuma: Arena,蒙特祖马的宝藏：竞技场 [英文版]
Dustforce,尘埃克星 [英文版]
The Amazing Spider-Man,超凡蜘蛛侠 [英文版]
Duke Nukem 3D: Megaton Edition,毁灭公爵3D：重量版 [英文版]
Gunslugs,像素魂斗罗 [英文版]
OlliOlli,像素滑板 [英文版]
XBlaze Code: Embryo,X苍炎 代号：萌芽 [英文版]
Grand Theft Auto: iFruit,GTA 5:iFruit (应用软件) [英文版]
1001 Spikes,1001颗尖刺 [英文版]
The Wolf Among Us,与狼同行 [英文版]
The Lego Movie - Videogame,乐高大电影游戏版 [英文版]
Starlight Inception,星光开端 [英文版]
Demon Gaze,恶魔凝视 [英文版]
Mind Zero,灵魂原点 [英文版]
Disgaea 4: A Promise Revisited,魔界战记 4 [英文版]
Age of Zombies,僵尸时代 [英文版]
WeatherNation (3.61+!) [3.63],WeatherNation [需3.63及以上系统版本 | 英文版]
Eufloria HD,真菌世界 高清版 [英文版]
Oddworld: Munch's Oddysee HD,奇异世界：新维塔特 高清版 [英文版]
Surge Deluxe,迸发 豪华版 [英文版]
The Walking Dead: Season 2 Ep. 1 All That Remains,行尸走肉：全系列 第二季 [英文版]
Monster Monpiece,极限凸骑 [英文版]
Velocity 2X,极速冒险 2X [英文版]
Conception II: Children of the Seven Stars,受孕 2：七星之子 [英文版]
Best of Arcade Games (DEMO - needs DLC to unlock full),最佳街机游戏 (DEMO - 需要 DLC 解锁) [英文版]
Best of Board Games (DEMO - needs DLC to unlock full),最佳棋类游戏 (DEMO - 需要 DLC 解锁) [英文版]
Fort Defense North Menace,堡垒防御北部威胁 [英文版]
Mutant Mudds Deluxe,泥土突变体 豪华版 [英文版]
Toukiden: The Age of Demons,讨鬼传 [英文版]
Borderlands 2,无主之地 2 [英文版]
Lego Ninjago: Nindroids,乐高幻影忍者：机械忍者 [英文版]
Backgammon Blitz,西洋双陆棋 [英文版]
The Swapper,交易者 [英文版]
Titan Attacks!,泰坦攻击 [英文版]
Putty Squad,点点君大进击 [英文版]
Lego The Hobbit,乐高霍比特人 [英文版]
Redbox Instant,Redbox Instant (应用软件) [英文版]
Jet Car Stunts,火箭飞车 [英文版]
Oddworld: New 'n' Tasty,奇异世界：新维塔特 [英文版]
Ethan: Meteor Hunter,伊森：陨石猎人 [英文版]
Mahjong World Contest,世界麻将大赛 [英文版]
TxK,TxK [英文版]
Senran Kagura: Shinovi Versus,闪乱神乐：少女们的证明 [英文版]
Danganronpa 2: Goodbye Despair,超级枪弹辩驳 2：再会了绝望学院 [英文版]
Hyperdimension Neptunia: Producing Perfection,超次元偶像：海王星 PP [英文版]
Deception IV: Blood Ties,影牢：恶梦公主 [日文版]
Hotline Miami 2: Wrong Number,迈阿密热线 2：空号 [英文版]
FEZ,FEZ [中英文版]
Dynasty Warriors 8: Xtreme Legends Complete Edition,真•三国无双 7 猛将传 [英文版]
Metrico,图表世界 [英文版]
MotoGP 13,摩托GP 13 [英文版]
WRC 4 - FIA World Rally Championship,世界拉力锦标赛 4 [英文版]
Broken Sword 5 - the Serpent's Curse: Episode 1,断剑 5：毒蛇的诅咒 第一章 [英文版]
Ultratron,电子射手 [英文版]
Putty Squad,点点君大进击 [英文版]
NHL GameCenter,北美职业冰球联盟 (应用软件) [英文版]
Farming Simulator 14,模拟农场 14 [中英文版]
MouseCraft,鼠的世界 [英文版]
Get Off My Lawn!,离开我的草坪！ [英文版]
Cel Damage HD,巨大损失 高清版 [英文版]
One Piece: Unlimited World Red,海贼王 无限世界：赤红 [英文版]
Day D Tower Rush,时间混乱的一天 [英文版]
Hulu Plus,Hulu Plus (应用软件) [英文版]
Arcana Heart 3: Love Max!!!!!,圣灵之心 3：爱的极限六星 [英文版]
AKIBA'S TRIP: Undead ＆ Undressed,秋叶脱物语 2 [英文版]
Tales of Hearts R,心灵传说 R [英文版]
SteamWorld Dig,蒸汽世界 [英文版]
Doodle Kingdom,涂鸦王国 [英文版]
Tiny Troopers Joint Ops,小小部队：联合行动 [英文版]
Hatsune Miku: Project DIVA F 2nd,初音未来：歌姬计划 F2 [英文版]
The Treasures of Montezuma 4,蒙特祖马的宝藏 4 [英文版]
Gravity Crash Ultra,重力冲撞：最终版 [英文版]
The Keeper of 4 Elements (3.61+!) [3.61],四元素守护者 [需3.61及以上系统版本 | 英文版]
Lego Batman 3: Beyond Gotham,乐高蝙蝠侠 3：飞跃高谭市 [英文版]
Hyperdimension Neptunia: Re;Birth1,超次元海王星：重生 1 [英文版]
Battalion Commander (3.61+!) [3.61],大队长 [需3.61及以上系统版本 | 英文版]
Alien Shooter,孤胆枪手 [英文版]
